side,row,col,board_no,socket,label,shift
back,3,16,15,16,015-16,0.5
back,4,17,15,17,015-17,0
back,5,17,15,18,015-18,0.5
back,6,20,15,19,015-19,0.5
back,5,16,15,20,015-20,0.5
back,6,16,15,21,015-21,0.5
back,7,18,15,22,015-22,0
back,7,17,15,23,015-23,0
back,8,16,15,24,015-24,0.5
back,9,16,15,25,015-25,0.5
back,9,18,15,26,015-26,0.5
back,8,19,15,29,015-29,0.5
back,10,20,15,30,015-30,0
back,7,21,15,31,015-31,0
back,6,21,15,32,015-32,0.5
back,8,21,15,33,015-33,0.5
back,10,22,15,34,015-34,0
back,9,22,15,35,015-35,0.5
back,9,24,15,36,015-36,0.5
back,8,23,15,37,015-37,0.5
back,8,22,15,38,015-38,0.5
back,7,24,15,39,015-39,0
back,6,25,15,40,015-40,0.5
back,6,24,15,41,015-41,0.5
back,5,26,15,42,015-42,0.5
back,7,22,15,43,015-43,0
back,4,27,15,44,015-44,0
back,4,26,15,45,015-45,0
back,5,23,15,46,015-46,0.5
back,3,27,15,47,015-47,0.5
back,3,26,15,48,015-48,0.5
back,3,25,15,49,015-49,0.5
back,4,22,15,50,015-50,0
back,2,26,15,51,015-51,0.5
back,2,25,15,52,015-52,0.5
back,1,28,15,53,015-53,0
back,1,27,15,54,015-54,0
back,2,24,15,55,015-55,0.5
back,0,28,15,56,015-56,0.5
back,0,27,15,57,015-57,0.5
